Dataset,Dataset ID,Event,Optimized Elo,Dual-K Elo
Sudden  1 (a=0.1),1,200,253,212
Sudden  1 (a=0.1),1,400,509,402
Sudden  1 (a=0.1),1,600,618,156
Sudden  2 (a=0.1),2,200,296,218
Sudden  2 (a=0.1),2,400,417,403
Sudden  2 (a=0.1),2,600,307,0
Sudden  3 (a=0.1),3,200,215,207
Sudden  3 (a=0.1),3,400,461,407
Sudden  3 (a=0.1),3,600,606,606
Sudden  4 (a=0.1),4,200,227,210
Sudden  4 (a=0.1),4,400,456,413
Sudden  4 (a=0.1),4,600,607,0
Sudden  5 (a=0.1),5,200,307,209
Sudden  5 (a=0.1),5,400,438,423
Sudden  5 (a=0.1),5,600,707,0
Sudden  1 (a=0.2),6,200,291,212
Sudden  1 (a=0.2),6,400,536,402
Sudden  1 (a=0.2),6,600,582,0
Sudden  2 (a=0.2),7,200,300,218
Sudden  2 (a=0.2),7,400,419,403
Sudden  2 (a=0.2),7,600,608,603
Sudden  3 (a=0.2),8,200,231,207
Sudden  3 (a=0.2),8,400,461,407
Sudden  3 (a=0.2),8,600,757,0
Sudden  4 (a=0.2),9,200,344,210
Sudden  4 (a=0.2),9,400,464,413
Sudden  4 (a=0.2),9,600,545,0
Sudden  5 (a=0.2),10,200,400,209
Sudden  5 (a=0.2),10,400,445,423
Sudden  5 (a=0.2),10,600,758,530
Mixture 1 (a=0.1),11,200,289,216
Mixture 1 (a=0.1),11,400,529,407
Mixture 1 (a=0.1),11,600,554,576
Mixture 1 (a=0.1),11,800,455,459
Mixture 2 (a=0.1),12,200,244,214
Mixture 2 (a=0.1),12,400,429,406
Mixture 2 (a=0.1),12,600,578,0
Mixture 2 (a=0.1),12,800,396,396
Mixture 3 (a=0.1),13,200,215,206
Mixture 3 (a=0.1),13,400,448,378
Mixture 3 (a=0.1),13,600,601,601
Mixture 3 (a=0.1),13,800,738,500
Mixture 4 (a=0.1),14,200,253,205
Mixture 4 (a=0.1),14,400,596,478
Mixture 4 (a=0.1),14,600,472,608
Mixture 4 (a=0.1),14,800,600,505
Mixture 5 (a=0.1),15,200,273,214
Mixture 5 (a=0.1),15,400,480,411
Mixture 5 (a=0.1),15,600,400,422
Mixture 5 (a=0.1),15,800,661,440
Mixture 1 (a=0.2),16,200,234,162
Mixture 1 (a=0.2),16,400,473,441
Mixture 1 (a=0.2),16,600,679,0
Mixture 1 (a=0.2),16,800,563,1000
Mixture 2 (a=0.2),17,200,236,206
Mixture 2 (a=0.2),17,400,578,402
Mixture 2 (a=0.2),17,600,609,605
Mixture 2 (a=0.2),17,800,668,433
Mixture 3 (a=0.2),18,200,403,292
Mixture 3 (a=0.2),18,400,438,370
Mixture 3 (a=0.2),18,600,364,0
Mixture 3 (a=0.2),18,800,452,368
Mixture 4 (a=0.2),19,200,271,217
Mixture 4 (a=0.2),19,400,459,361
Mixture 4 (a=0.2),19,600,0,0
Mixture 4 (a=0.2),19,800,472,445
Mixture 5 (a=0.2),20,200,253,210
Mixture 5 (a=0.2),20,400,462,410
Mixture 5 (a=0.2),20,600,0,0
Mixture 5 (a=0.2),20,800,741,311
